REGION_NAME,SALARY
Altai Region,25960
Amur Region,43156
Arkhangelsk Region,47526
Astrakhan Region,32166
Belgorod Region,31163
Bryansk Region,27403
Vladimir Region,31647
Volgograd Region,30097
Vologda Region,36081
Voronezh Region,31286
Moscow,78946
St Petersburg,58310
Sevastopol,31008
The Jewish Autonomous Region,39797
Zabaikalsky Region,40728
Ivanovo Region,26053
Irkutsk Region,42921
Kabardino-Balkar Republic,25318
Kaliningrad Region,32473
Kaluga Region,38005
Kamchatka,71553
Karachay-Cherkess Republic,25699
Kemerovo Region,37857
Kirov Region,27580
Kostroma Region,27948
Krasnodar Region,33258
Krasnoyarsk Region,44692
Kurgan Region,27887
Kursk Region,30125
Leningrad Region,42434
Lipetsk Region,30775
Magadan Region,101662
Moscow Region,50135
Murmansk Region,56005
Nenets Autonomous Okrug,77277
Nizhny Novgorod Region,32973
Novgorod Region,30820
Novosibirsk Region,36048
Omsk Region,32013
Orenburg Region,29892
Orel,26834
Penza Region,30112
Perm Region,34809
Primorsky Region,42026
Pskov Region,27339
Adygeya Republic,27455
Altai Republic,37764
Republic of Bashkortostan,33137
Republic of Buryatia,37867
Republic of Dagestan,24550
Ingush Republic,25663
Republic of Kalmykia,25719
Republic of Karelia,39755
Republic of Komi,48316
Republic of Crimea,28400
Republic of Mari El,28232
Republic of Mordovia,26999
The Republic of Sakha (Yakutia),65881
Republic of North Ossetia-Alania,26108
Republic of tatarstan,35722
Republic of tuva,35619
Republic of Khakassia,37949
Rostov Region,30647
Ryazan Region,31192
Samara Region,33086
Saratov Region,26555
Sakhalin Region,73261
Sverdlovsk Region,37605
Smolensk Region,29566
Stavropol Region,28256
Tambov Region,26754
Tver Region,30764
Tomsk Region,39707
Tula Region,33933
Tyumen Region,61937
Udmurt Republic,31990
Ulyanovsk Region,27927
Khabarovsk Region,46583
Khanty-Mansiysk Autonomous Okrug (Ugra),62555
Chelyabinsk Region,34944
Republic of Chechnya,26108
Chuvash Republic,27028
Chukotka AO,96930
Yamalo-Nenets Autonomous district,86560
Yaroslavl Region,33882